UF,IDADE,ESCOLARIDADE,ESTADO_CIVIL,QT_FILHOS,VL_IMOVEIS,TEMPO_ULTIMO_EMPREGO_MESES,ULTIMO_SALARIO,VALOR_TABELA_CARROS,SCORE_CREDITO,EMPRESTIMO
SP,19,Superior Cursando,Solteiro,0,0,8,1800,0,56,SIM
MG,23,Superior Completo,Solteiro,1,0,9,4800,50000,18,NAO
SC,25,Segundo Grau Completo,Casado,0,220000,18,2200,30000,45,SIM
PR,27,Superior Cursando,Casado,1,0,22,3900,0,29,NAO
SP,30,Segundo Grau Completo,Divorciado,0,0,,3100,40000,40,SIM
MG,32,Superior Cursando,Solteiro,1,185000,19,6800,0,45,NAO
SC,35,Superior Completo,Solteiro,1,450000,25,22000,150000,51,SIM
PR,42,Segundo Grau Completo,Casado,0,0,48,4500,28000,56,NAO
RJ,45,Superior Cursando,Casado,0,0,120,9800,0,62,SIM
SP,48,Superior Completo,Divorciado,2,600000,15,15000,70000,67,NAO
MG,51,Segundo Grau Completo,Divorciado,1,0,80,6100,48000,73,SIM
SC,53,Superior Cursando,Casado,2,280000,12,9000,0,78,NAO
PR,55,Superior Completo,Casado,2,700000,75,17500,50000,84,SIM
RJ,57,Segundo Grau Completo,Casado,3,,90,13000,180000,89,NAO
SP,62,Superior Cursando,Casado,3,450000,93,5300,0,95,SIM
RJ,65,Superior Completo,Viuvo,1,900000,150,18300,80000,98,NAO
SP,19,Superior Cursando,Solteiro,0,0,8,1800,0,42,SIM
MG,23,Superior Completo,Solteiro,1,0,9,4800,50000,18,NAO
SC,25,Segundo Grau Completo,Casado,0,220000,18,2200,30000,48,SIM
PR,27,Superior Cursando,Casado,1,0,22,3900,0,29,NAO
RJ,28,Superior Completo,Divorciado,2,370000,30,11500,35000,34,SIM
SP,30,Segundo Grau Completo,Divorciado,0,0,14,3100,40000,40,NAO
MG,32,Superior Cursando,Solteiro,1,185000,19,6800,0,45,SIM
SC,35,Superior Completo,Solteiro,1,450000,25,,150000,51,NAO
PR,42,Segundo Grau Completo,Casado,0,0,48,4500,28000,56,SIM
RJ,45,Superior Cursando,Casado,0,0,120,9800,0,62,NAO
MG,51,Segundo Grau Completo,Divorciado,1,0,80,6100,48000,73,SIM
SC,53,Superior Cursando,Casado,2,280000,12,9000,0,78,NAO
PR,55,Superior Completo,Casado,2,700000,75,17500,50000,84,SIM
RJ,57,Segundo Grau Completo,Casado,3,340000,90,13000,180000,89,NAO
SP,62,Superior Cursando,Casado,3,450000,93,5300,0,95,SIM
RJ,65,Superior Completo,Viuvo,1,900000,150,18300,80000,98,NAO
SP,19,Superior Cursando,Solteiro,0,0,8,,0,47,SIM
MG,23,Superior Completo,Solteiro,1,0,9,4800,50000,18,NAO
SC,25,Segundo Grau Completo,Casado,0,220000,18,2200,30000,53,SIM
PR,27,Superior Cursando,Casado,1,0,22,3900,0,29,NAO
RJ,28,Superior Completo,Divorciado,2,370000,30,11500,35000,34,SIM
SP,30,Segundo Grau Completo,Divorciado,0,0,14,3100,40000,40,NAO
MG,32,Superior Cursando,Solteiro,1,185000,19,6800,0,45,SIM
SC,35,Superior Completo,Solteiro,1,450000,25,22000,150000,51,NAO
PR,42,Segundo Grau Completo,Casado,0,0,48,4500,28000,56,SIM
RJ,45,Superior Cursando,Casado,0,0,120,9800,0,62,NAO
SP,48,Superior Completo,Divorciado,2,600000,15,15000,70000,67,SIM
MG,51,Segundo Grau Completo,Divorciado,1,0,80,6100,48000,73,NAO
SC,53,Superior Cursando,Casado,2,280000,12,9000,0,78,SIM
PR,55,Superior Completo,Casado,2,700000,75,17500,50000,84,NAO
RJ,57,Segundo Grau Completo,Casado,3,340000,90,,180000,89,SIM
SP,62,Superior Cursando,Casado,3,450000,93,5300,0,95,NAO
RJ,65,Superior Completo,Viuvo,1,900000,150,18300,80000,98,SIM
SP,19,Superior Cursando,Solteiro,0,0,8,1800,0,12,NAO
MG,23,Superior Completo,Solteiro,1,0,9,4800,50000,42,SIM
SC,25,Segundo Grau Completo,Casado,0,220000,18,2200,30000,48,NAO
PR,27,Superior Cursando,Casado,1,0,22,3900,0,47,SIM
RJ,28,Superior Completo,Divorciado,2,370000,30,11500,35000,53,NAO
SP,30,Segundo Grau Completo,Divorciado,0,0,14,3100,40000,40,SIM
MG,32,Superior Cursando,Solteiro,1,185000,19,6800,0,45,NAO
SC,35,Superior Completo,Solteiro,1,450000,25,22000,150000,51,SIM
PR,42,Segundo Grau Completo,Casado,0,0,48,4500,28000,56,NAO
RJ,45,Superior Cursando,Casado,0,0,120,9800,0,62,SIM
SP,48,Superior Completo,Divorciado,2,600000,15,15000,70000,67,NAO
MG,51,Segundo Grau Completo,Divorciado,1,0,80,6100,48000,73,SIM
SC,53,Superior Cursando,Casado,2,,12,9000,0,78,NAO
PR,55,Superior Completo,Casado,2,,75,17500,50000,84,SIM
RJ,57,Segundo Grau Completo,Casado,3,,90,13000,180000,89,NAO
SP,62,Superior Cursando,Casado,3,,93,5300,0,95,SIM
RJ,65,Superior Completo,Viuvo,1,,150,18300,80000,98,NAO
SP,19,Superior Cursando,Solteiro,0,0,8,1800,0,42,SIM
MG,23,Superior Completo,Solteiro,1,0,9,4800,50000,48,NAO
SC,25,Segundo Grau Completo,Casado,0,220000,18,2200,30000,47,SIM
PR,27,Superior Cursando,Casado,1,0,22,3900,0,53,NAO
RJ,28,Superior Completo,Divorciado,2,370000,30,11500,35000,34,SIM
SP,30,Segundo Grau Completo,Divorciado,0,0,14,3100,40000,40,NAO
MG,32,Superior Cursando,Solteiro,1,185000,19,6800,0,45,SIM
SC,35,Superior Completo,Solteiro,1,450000,25,22000,150000,51,NAO
PR,42,Segundo Grau Completo,Casado,0,0,48,4500,28000,56,SIM
RJ,45,Superior Cursando,Casado,0,0,120,9800,0,62,NAO
SP,48,Superior Completo,Divorciado,2,600000,15,15000,70000,67,SIM
MG,51,Segundo Grau Completo,Divorciado,1,0,80,6100,48000,73,NAO
SC,53,Superior Cursando,Casado,2,280000,12,9000,0,78,SIM
PR,55,Superior Completo,Casado,2,700000,75,17500,50000,84,NAO
RJ,57,Segundo Grau Completo,Casado,3,340000,90,13000,180000,89,SIM
SP,62,Superior Cursando,Casado,3,450000,93,5300,0,95,NAO
RJ,65,Superior Completo,Viuvo,1,900000,150,18300,80000,98,SIM
SP,19,Superior Cursando,Solteiro,0,0,8,1800,0,12,NAO
MG,23,Superior Completo,Solteiro,1,0,9,4800,50000,43,SIM
SC,25,Segundo Grau Completo,Casado,0,220000,18,2200,30000,23,NAO
PR,27,Superior Cursando,Casado,1,0,22,3900,0,39,SIM
RJ,28,Superior Completo,Divorciado,2,370000,30,11500,35000,34,NAO
SP,30,Segundo Grau Completo,Divorciado,0,0,14,3100,40000,40,SIM
MG,32,Superior Cursando,Solteiro,1,185000,19,6800,0,45,NAO
SC,35,Superior Completo,Solteiro,1,450000,25,22000,150000,51,SIM
PR,42,Segundo Grau Completo,Casado,0,0,48,4500,28000,56,NAO
RJ,45,Superior Cursando,Casado,0,0,120,9800,0,62,SIM
SP,48,Superior Completo,Divorciado,2,600000,15,15000,70000,67,NAO
MG,51,Segundo Grau Completo,Divorciado,1,0,80,6100,48000,73,SIM
SC,53,Superior Cursando,Casado,2,280000,12,9000,0,78,NAO
PR,55,Superior Completo,Casado,2,700000,75,17500,50000,84,SIM
RJ,57,Segundo Grau Completo,Casado,3,340000,90,13000,180000,89,NAO
SP,62,Superior Cursando,Casado,3,450000,93,5300,0,95,SIM
RJ,65,Superior Completo,Viuvo,1,900000,150,18300,80000,98,NAO
